InstanceType,memory_gb,vcpu,network
x2gd.2xlarge,128.0,8,Up to 10 Gigabit
p3.2xlarge,61.0,8,Up to 10 Gigabit
c6gn.16xlarge,128.0,64,100 Gigabit
c5ad.12xlarge,96.0,48,12 Gigabit
g3s.xlarge,30.5,4,10 Gigabit
g4ad.xlarge,16.0,4,Up to 10 Gigabit
is4gen.medium,6.0,1,Up to 25 Gigabit
m1.xlarge,15.0,4,High
c6gd.large,4.0,2,Up to 10 Gigabit
m5dn.xlarge,16.0,4,Up to 25 Gigabit
m5n.large,8.0,2,Up to 25 Gigabit
im4gn.large,8.0,2,Up to 25 Gigabit
g2.8xlarge,60.0,32,High
r6g.4xlarge,128.0,16,Up to 10 Gigabit
r5ad.16xlarge,512.0,64,12 Gigabit
m6a.16xlarge,256.0,64,25000 Megabit
a1.large,4.0,2,Up to 10 Gigabit
c6g.large,4.0,2,Up to 10 Gigabit
g5.4xlarge,64.0,16,Up to 25 Gigabit
hpc6a.48xlarge,384.0,96,100 Gigabit
z1d.large,16.0,2,Up to 10 Gigabit
r6a.xlarge,32.0,4,Up to 12500 Megabit
g4ad.8xlarge,128.0,32,15 Gigabit
t3a.small,2.0,2,Up to 5 Gigabit
g2.2xlarge,15.0,8,Moderate
g5g.16xlarge,128.0,64,25 Gigabit
m6gd.xlarge,16.0,4,Up to 10 Gigabit
x2iezn.4xlarge,512.0,16,Up to 25 Gigabit
r5b.large,16.0,2,Up to 10 Gigabit
c6id.12xlarge,96.0,48,18750 Megabit
a1.medium,2.0,1,Up to 10 Gigabit
t2.2xlarge,32.0,8,Moderate
u-24tb1.112xlarge,24576.0,448,100 Gigabit
x2gd.16xlarge,1024.0,64,25 Gigabit
t4g.2xlarge,32.0,8,Up to 5 Gigabit
m6id.32xlarge,512.0,128,50000 Megabit
c6a.48xlarge,384.0,192,50000 Megabit
is4gen.2xlarge,48.0,8,Up to 25 Gigabit
c7g.medium,2.0,1,Up to 12500 Megabit
im4gn.xlarge,16.0,4,Up to 25 Gigabit
a1.xlarge,8.0,4,Up to 10 Gigabit
t3a.micro,1.0,2,Up to 5 Gigabit
im4gn.8xlarge,128.0,32,50 Gigabit
r6gd.2xlarge,64.0,8,Up to 10 Gigabit
